month,tech,trend
2010-12-01,bitcoin,0
2010-12-01,cryptocurrency,0
2010-12-01,x3d_printer,4.75
2010-12-01,x5g,2
2010-12-01,cloud_computing,87
2010-12-01,speech_recognition,71.75
2011-01-01,bitcoin,0
2011-01-01,cryptocurrency,0
2011-01-01,x3d_printer,4.75
2011-01-01,x5g,2.25
2011-01-01,cloud_computing,90.25
2011-01-01,speech_recognition,72.75
2011-02-01,bitcoin,0
2011-02-01,cryptocurrency,0
2011-02-01,x3d_printer,4.75
2011-02-01,x5g,2.25
2011-02-01,cloud_computing,91.75
2011-02-01,speech_recognition,75
2011-03-01,bitcoin,0
2011-03-01,cryptocurrency,0
2011-03-01,x3d_printer,4.5
2011-03-01,x5g,2.25
2011-03-01,cloud_computing,93.5
2011-03-01,speech_recognition,74.25
2011-04-01,bitcoin,0
2011-04-01,cryptocurrency,0
2011-04-01,x3d_printer,5
2011-04-01,x5g,2.25
2011-04-01,cloud_computing,95
2011-04-01,speech_recognition,70.5
2011-05-01,bitcoin,0.25
2011-05-01,cryptocurrency,0
2011-05-01,x3d_printer,5
2011-05-01,x5g,2
2011-05-01,cloud_computing,93
2011-05-01,speech_recognition,66.5
2011-06-01,bitcoin,0.75
2011-06-01,cryptocurrency,0
2011-06-01,x3d_printer,5.5
2011-06-01,x5g,2
2011-06-01,cloud_computing,93.75
2011-06-01,speech_recognition,64
2011-07-01,bitcoin,1
2011-07-01,cryptocurrency,0
2011-07-01,x3d_printer,5.75
2011-07-01,x5g,2
2011-07-01,cloud_computing,90.25
2011-07-01,speech_recognition,60.5
2011-08-01,bitcoin,1.25
2011-08-01,cryptocurrency,0
2011-08-01,x3d_printer,5.75
2011-08-01,x5g,2
2011-08-01,cloud_computing,87
2011-08-01,speech_recognition,60.75
2011-09-01,bitcoin,1.25
2011-09-01,cryptocurrency,0
2011-09-01,x3d_printer,6
2011-09-01,x5g,2
2011-09-01,cloud_computing,89
2011-09-01,speech_recognition,62
2011-10-01,bitcoin,0.75
2011-10-01,cryptocurrency,0
2011-10-01,x3d_printer,6
2011-10-01,x5g,2
2011-10-01,cloud_computing,87.5
2011-10-01,speech_recognition,63
2011-11-01,bitcoin,0.5
2011-11-01,cryptocurrency,0
2011-11-01,x3d_printer,6
2011-11-01,x5g,2
2011-11-01,cloud_computing,89.25
2011-11-01,speech_recognition,66
2011-12-01,bitcoin,0.25
2011-12-01,cryptocurrency,0
2011-12-01,x3d_printer,6
2011-12-01,x5g,2
2011-12-01,cloud_computing,91.25
2011-12-01,speech_recognition,67.5
2012-01-01,bitcoin,0
2012-01-01,cryptocurrency,0
2012-01-01,x3d_printer,6.5
2012-01-01,x5g,2
2012-01-01,cloud_computing,89.25
2012-01-01,speech_recognition,68.5
2012-02-01,bitcoin,0
2012-02-01,cryptocurrency,0
2012-02-01,x3d_printer,7
2012-02-01,x5g,2
2012-02-01,cloud_computing,87.25
2012-02-01,speech_recognition,66.5
2012-03-01,bitcoin,0
2012-03-01,cryptocurrency,0
2012-03-01,x3d_printer,7
2012-03-01,x5g,2
2012-03-01,cloud_computing,85.5
2012-03-01,speech_recognition,66.25
2012-04-01,bitcoin,0
2012-04-01,cryptocurrency,0
2012-04-01,x3d_printer,7.25
2012-04-01,x5g,2
2012-04-01,cloud_computing,82
2012-04-01,speech_recognition,64.25
2012-05-01,bitcoin,0
2012-05-01,cryptocurrency,0
2012-05-01,x3d_printer,7.5
2012-05-01,x5g,2
2012-05-01,cloud_computing,76.5
2012-05-01,speech_recognition,61
2012-06-01,bitcoin,0
2012-06-01,cryptocurrency,0
2012-06-01,x3d_printer,7.25
2012-06-01,x5g,2
2012-06-01,cloud_computing,70
2012-06-01,speech_recognition,57.5
2012-07-01,bitcoin,0
2012-07-01,cryptocurrency,0
2012-07-01,x3d_printer,8
2012-07-01,x5g,2
2012-07-01,cloud_computing,64.25
2012-07-01,speech_recognition,55.25
2012-08-01,bitcoin,0.25
2012-08-01,cryptocurrency,0
2012-08-01,x3d_printer,9.5
2012-08-01,x5g,2
2012-08-01,cloud_computing,61.75
2012-08-01,speech_recognition,52.75
2012-09-01,bitcoin,0.5
2012-09-01,cryptocurrency,0
2012-09-01,x3d_printer,10
2012-09-01,x5g,2.25
2012-09-01,cloud_computing,62.75
2012-09-01,speech_recognition,54
2012-10-01,bitcoin,0.5
2012-10-01,cryptocurrency,0
2012-10-01,x3d_printer,11.75
2012-10-01,x5g,2.5
2012-10-01,cloud_computing,64.75
2012-10-01,speech_recognition,56.5
2012-11-01,bitcoin,0.75
2012-11-01,cryptocurrency,0
2012-11-01,x3d_printer,14.25
2012-11-01,x5g,2.5
2012-11-01,cloud_computing,64
2012-11-01,speech_recognition,54
2012-12-01,bitcoin,0.75
2012-12-01,cryptocurrency,0
2012-12-01,x3d_printer,15
2012-12-01,x5g,2.5
2012-12-01,cloud_computing,60.5
2012-12-01,speech_recognition,53.25
2013-01-01,bitcoin,0.75
2013-01-01,cryptocurrency,0
2013-01-01,x3d_printer,20
2013-01-01,x5g,2.25
2013-01-01,cloud_computing,56.75
2013-01-01,speech_recognition,52
2013-02-01,bitcoin,1
2013-02-01,cryptocurrency,0
2013-02-01,x3d_printer,25
2013-02-01,x5g,2
2013-02-01,cloud_computing,53.5
2013-02-01,speech_recognition,51
2013-03-01,bitcoin,1.25
2013-03-01,cryptocurrency,0
2013-03-01,x3d_printer,30.75
2013-03-01,x5g,2
2013-03-01,cloud_computing,52
2013-03-01,speech_recognition,54
2013-04-01,bitcoin,2.75
2013-04-01,cryptocurrency,0
2013-04-01,x3d_printer,35.75
2013-04-01,x5g,2
2013-04-01,cloud_computing,53
2013-04-01,speech_recognition,54.25
2013-05-01,bitcoin,3.25
2013-05-01,cryptocurrency,0
2013-05-01,x3d_printer,50
2013-05-01,x5g,2
2013-05-01,cloud_computing,52
2013-05-01,speech_recognition,54.25
2013-06-01,bitcoin,3.5
2013-06-01,cryptocurrency,0
2013-06-01,x3d_printer,58.75
2013-06-01,x5g,2
2013-06-01,cloud_computing,49.25
2013-06-01,speech_recognition,53.5
2013-07-01,bitcoin,3.5
2013-07-01,cryptocurrency,0
2013-07-01,x3d_printer,62.75
2013-07-01,x5g,2
2013-07-01,cloud_computing,48.25
2013-07-01,speech_recognition,49.5
2013-08-01,bitcoin,2.25
2013-08-01,cryptocurrency,0
2013-08-01,x3d_printer,67
2013-08-01,x5g,2
2013-08-01,cloud_computing,46.25
2013-08-01,speech_recognition,46.5
2013-09-01,bitcoin,2
2013-09-01,cryptocurrency,0
2013-09-01,x3d_printer,56
2013-09-01,x5g,2
2013-09-01,cloud_computing,46.5
2013-09-01,speech_recognition,45
2013-10-01,bitcoin,2.25
2013-10-01,cryptocurrency,0
2013-10-01,x3d_printer,51.25
2013-10-01,x5g,2
2013-10-01,cloud_computing,48.5
2013-10-01,speech_recognition,46.25
2013-11-01,bitcoin,4.25
2013-11-01,cryptocurrency,0.25
2013-11-01,x3d_printer,53.5
2013-11-01,x5g,2
2013-11-01,cloud_computing,48.25
2013-11-01,speech_recognition,48.75
2013-12-01,bitcoin,6.75
2013-12-01,cryptocurrency,0.75
2013-12-01,x3d_printer,52.75
2013-12-01,x5g,2
2013-12-01,cloud_computing,47.75
2013-12-01,speech_recognition,51
2014-01-01,bitcoin,8.25
2014-01-01,cryptocurrency,1
2014-01-01,x3d_printer,57
2014-01-01,x5g,2
2014-01-01,cloud_computing,46.5
2014-01-01,speech_recognition,51.75
2014-02-01,bitcoin,9.5
2014-02-01,cryptocurrency,1.5
2014-02-01,x3d_printer,58
2014-02-01,x5g,2
2014-02-01,cloud_computing,46.75
2014-02-01,speech_recognition,51.25
2014-03-01,bitcoin,8.5
2014-03-01,cryptocurrency,1.5
2014-03-01,x3d_printer,53
2014-03-01,x5g,2
2014-03-01,cloud_computing,46.5
2014-03-01,speech_recognition,51
2014-04-01,bitcoin,6.5
2014-04-01,cryptocurrency,1.25
2014-04-01,x3d_printer,53.75
2014-04-01,x5g,2
2014-04-01,cloud_computing,47.75
2014-04-01,speech_recognition,50.5
2014-05-01,bitcoin,5.25
2014-05-01,cryptocurrency,1.25
2014-05-01,x3d_printer,62.5
2014-05-01,x5g,2
2014-05-01,cloud_computing,46.5
2014-05-01,speech_recognition,49.75
2014-06-01,bitcoin,4
2014-06-01,cryptocurrency,1
2014-06-01,x3d_printer,61.5
2014-06-01,x5g,2
2014-06-01,cloud_computing,43
2014-06-01,speech_recognition,47.75
2014-07-01,bitcoin,3.25
2014-07-01,cryptocurrency,1
2014-07-01,x3d_printer,62.75
2014-07-01,x5g,2
2014-07-01,cloud_computing,41.5
2014-07-01,speech_recognition,43
2014-08-01,bitcoin,3
2014-08-01,cryptocurrency,0.75
2014-08-01,x3d_printer,61.25
2014-08-01,x5g,2
2014-08-01,cloud_computing,40.25
2014-08-01,speech_recognition,40.75
2014-09-01,bitcoin,3
2014-09-01,cryptocurrency,0.75
2014-09-01,x3d_printer,50.75
2014-09-01,x5g,2
2014-09-01,cloud_computing,42.25
2014-09-01,speech_recognition,41.25
2014-10-01,bitcoin,3
2014-10-01,cryptocurrency,0.5
2014-10-01,x3d_printer,53.25
2014-10-01,x5g,2
2014-10-01,cloud_computing,42.75
2014-10-01,speech_recognition,42.25
2014-11-01,bitcoin,3
2014-11-01,cryptocurrency,0.25
2014-11-01,x3d_printer,54.5
2014-11-01,x5g,2
2014-11-01,cloud_computing,43.5
2014-11-01,speech_recognition,44.5
2014-12-01,bitcoin,3
2014-12-01,cryptocurrency,0.25
2014-12-01,x3d_printer,56
2014-12-01,x5g,2
2014-12-01,cloud_computing,42.75
2014-12-01,speech_recognition,45.5
2015-01-01,bitcoin,3
2015-01-01,cryptocurrency,0
2015-01-01,x3d_printer,63.5
2015-01-01,x5g,2.25
2015-01-01,cloud_computing,40
2015-01-01,speech_recognition,43.75
2015-02-01,bitcoin,3
2015-02-01,cryptocurrency,0
2015-02-01,x3d_printer,62.25
2015-02-01,x5g,2.5
2015-02-01,cloud_computing,40.25
2015-02-01,speech_recognition,43
2015-03-01,bitcoin,3
2015-03-01,cryptocurrency,0
2015-03-01,x3d_printer,61.5
2015-03-01,x5g,2.75
2015-03-01,cloud_computing,39.5
2015-03-01,speech_recognition,43.25
2015-04-01,bitcoin,2.75
2015-04-01,cryptocurrency,0
2015-04-01,x3d_printer,60.75
2015-04-01,x5g,3
2015-04-01,cloud_computing,39.75
2015-04-01,speech_recognition,43
2015-05-01,bitcoin,2.5
2015-05-01,cryptocurrency,0
2015-05-01,x3d_printer,52
2015-05-01,x5g,3
2015-05-01,cloud_computing,39.5
2015-05-01,speech_recognition,43
2015-06-01,bitcoin,2.25
2015-06-01,cryptocurrency,0
2015-06-01,x3d_printer,50.75
2015-06-01,x5g,3
2015-06-01,cloud_computing,38.25
2015-06-01,speech_recognition,41.25
2015-07-01,bitcoin,2.25
2015-07-01,cryptocurrency,0
2015-07-01,x3d_printer,48.75
2015-07-01,x5g,3
2015-07-01,cloud_computing,36.75
2015-07-01,speech_recognition,38
2015-08-01,bitcoin,2.5
2015-08-01,cryptocurrency,0
2015-08-01,x3d_printer,47.5
2015-08-01,x5g,3
2015-08-01,cloud_computing,36.5
2015-08-01,speech_recognition,37.25
2015-09-01,bitcoin,2.5
2015-09-01,cryptocurrency,0
2015-09-01,x3d_printer,48.25
2015-09-01,x5g,3.25
2015-09-01,cloud_computing,38.25
2015-09-01,speech_recognition,37
2015-10-01,bitcoin,2.5
2015-10-01,cryptocurrency,0
2015-10-01,x3d_printer,49.5
2015-10-01,x5g,3.25
2015-10-01,cloud_computing,39.25
2015-10-01,speech_recognition,38.75
2015-11-01,bitcoin,2.75
2015-11-01,cryptocurrency,0
2015-11-01,x3d_printer,52.5
2015-11-01,x5g,3.25
2015-11-01,cloud_computing,40.25
2015-11-01,speech_recognition,40
2015-12-01,bitcoin,2.75
2015-12-01,cryptocurrency,0
2015-12-01,x3d_printer,53.25
2015-12-01,x5g,3.5
2015-12-01,cloud_computing,39.25
2015-12-01,speech_recognition,40
2016-01-01,bitcoin,3
2016-01-01,cryptocurrency,0
2016-01-01,x3d_printer,53.75
2016-01-01,x5g,3.25
2016-01-01,cloud_computing,36.5
2016-01-01,speech_recognition,39.5
2016-02-01,bitcoin,3.25
2016-02-01,cryptocurrency,0
2016-02-01,x3d_printer,54.25
2016-02-01,x5g,3.5
2016-02-01,cloud_computing,35.25
2016-02-01,speech_recognition,37.25
2016-03-01,bitcoin,3
2016-03-01,cryptocurrency,0.25
2016-03-01,x3d_printer,52.5
2016-03-01,x5g,3.75
2016-03-01,cloud_computing,35
2016-03-01,speech_recognition,37
2016-04-01,bitcoin,3
2016-04-01,cryptocurrency,0.5
2016-04-01,x3d_printer,54.25
2016-04-01,x5g,4
2016-04-01,cloud_computing,35.5
2016-04-01,speech_recognition,37.75
2016-05-01,bitcoin,3
2016-05-01,cryptocurrency,0.75
2016-05-01,x3d_printer,53.5
2016-05-01,x5g,4
2016-05-01,cloud_computing,36
2016-05-01,speech_recognition,38
2016-06-01,bitcoin,3.25
2016-06-01,cryptocurrency,1
2016-06-01,x3d_printer,51.5
2016-06-01,x5g,4
2016-06-01,cloud_computing,35.25
2016-06-01,speech_recognition,38
2016-07-01,bitcoin,3.5
2016-07-01,cryptocurrency,1
2016-07-01,x3d_printer,48.25
2016-07-01,x5g,3.75
2016-07-01,cloud_computing,33.25
2016-07-01,speech_recognition,36.75
2016-08-01,bitcoin,3.5
2016-08-01,cryptocurrency,1
2016-08-01,x3d_printer,44
2016-08-01,x5g,3.5
2016-08-01,cloud_computing,32
2016-08-01,speech_recognition,33.75
2016-09-01,bitcoin,3.5
2016-09-01,cryptocurrency,1
2016-09-01,x3d_printer,43.25
2016-09-01,x5g,3.75
2016-09-01,cloud_computing,32.25
2016-09-01,speech_recognition,31.75
2016-10-01,bitcoin,3.25
2016-10-01,cryptocurrency,1
2016-10-01,x3d_printer,43.75
2016-10-01,x5g,3.75
2016-10-01,cloud_computing,32.25
2016-10-01,speech_recognition,33
2016-11-01,bitcoin,3.25
2016-11-01,cryptocurrency,1
2016-11-01,x3d_printer,46
2016-11-01,x5g,4
2016-11-01,cloud_computing,33.75
2016-11-01,speech_recognition,34.75
2016-12-01,bitcoin,3.75
2016-12-01,cryptocurrency,1
2016-12-01,x3d_printer,50.25
2016-12-01,x5g,4
2016-12-01,cloud_computing,33.5
2016-12-01,speech_recognition,38.25
2017-01-01,bitcoin,4.5
2017-01-01,cryptocurrency,1
2017-01-01,x3d_printer,52
2017-01-01,x5g,4
2017-01-01,cloud_computing,33
2017-01-01,speech_recognition,41.5
2017-02-01,bitcoin,5.25
2017-02-01,cryptocurrency,1
2017-02-01,x3d_printer,54.25
2017-02-01,x5g,4.25
2017-02-01,cloud_computing,34
2017-02-01,speech_recognition,42
2017-03-01,bitcoin,6
2017-03-01,cryptocurrency,1.25
2017-03-01,x3d_printer,57
2017-03-01,x5g,4.75
2017-03-01,cloud_computing,34.25
2017-03-01,speech_recognition,44.5
2017-04-01,bitcoin,6.25
2017-04-01,cryptocurrency,1.75
2017-04-01,x3d_printer,57
2017-04-01,x5g,5
2017-04-01,cloud_computing,35.25
2017-04-01,speech_recognition,44.75
2017-05-01,bitcoin,8.25
2017-05-01,cryptocurrency,3.5
2017-05-01,x3d_printer,57.5
2017-05-01,x5g,5.25
2017-05-01,cloud_computing,36.75
2017-05-01,speech_recognition,42.5
2017-06-01,bitcoin,10.25
2017-06-01,cryptocurrency,7
2017-06-01,x3d_printer,56.25
2017-06-01,x5g,5
2017-06-01,cloud_computing,35
2017-06-01,speech_recognition,41.25
2017-07-01,bitcoin,11.75
2017-07-01,cryptocurrency,9.5
2017-07-01,x3d_printer,53.25
2017-07-01,x5g,4.75
2017-07-01,cloud_computing,33.5
2017-07-01,speech_recognition,38.75
2017-08-01,bitcoin,15.25
2017-08-01,cryptocurrency,13.5
2017-08-01,x3d_printer,51.5
2017-08-01,x5g,4.5
2017-08-01,cloud_computing,33
2017-08-01,speech_recognition,36.75
2017-09-01,bitcoin,16.75
2017-09-01,cryptocurrency,16.75
2017-09-01,x3d_printer,50.75
2017-09-01,x5g,4.5
2017-09-01,cloud_computing,31.75
2017-09-01,speech_recognition,36.25
2017-10-01,bitcoin,18.75
2017-10-01,cryptocurrency,17.75
2017-10-01,x3d_printer,51
2017-10-01,x5g,4.75
2017-10-01,cloud_computing,33.25
2017-10-01,speech_recognition,36.25
2017-11-01,bitcoin,26.25
2017-11-01,cryptocurrency,22.5
2017-11-01,x3d_printer,55
2017-11-01,x5g,5
2017-11-01,cloud_computing,35.25
2017-11-01,speech_recognition,37.25
2017-12-01,bitcoin,46.25
2017-12-01,cryptocurrency,40.5
2017-12-01,x3d_printer,57
2017-12-01,x5g,5.5
2017-12-01,cloud_computing,35
2017-12-01,speech_recognition,38.25
2018-01-01,bitcoin,54.25
2018-01-01,cryptocurrency,60.25
2018-01-01,x3d_printer,56.5
2018-01-01,x5g,5.75
2018-01-01,cloud_computing,34.25
2018-01-01,speech_recognition,39
2018-02-01,bitcoin,58.5
2018-02-01,cryptocurrency,67.75
2018-02-01,x3d_printer,57
2018-02-01,x5g,6.5
2018-02-01,cloud_computing,33.5
2018-02-01,speech_recognition,38.25
2018-03-01,bitcoin,53.25
2018-03-01,cryptocurrency,67.25
2018-03-01,x3d_printer,54.75
2018-03-01,x5g,6.75
2018-03-01,cloud_computing,31.75
2018-03-01,speech_recognition,37.75
2018-04-01,bitcoin,32.75
2018-04-01,cryptocurrency,50.25
2018-04-01,x3d_printer,53.5
2018-04-01,x5g,7
2018-04-01,cloud_computing,32
2018-04-01,speech_recognition,37.75
2018-05-01,bitcoin,23.25
2018-05-01,cryptocurrency,30
2018-05-01,x3d_printer,54
2018-05-01,x5g,7.5
2018-05-01,cloud_computing,32.25
2018-05-01,speech_recognition,36.75
2018-06-01,bitcoin,16.75
2018-06-01,cryptocurrency,21.75
2018-06-01,x3d_printer,52
2018-06-01,x5g,7.5
2018-06-01,cloud_computing,31
2018-06-01,speech_recognition,36.25
2018-07-01,bitcoin,14.5
2018-07-01,cryptocurrency,18
2018-07-01,x3d_printer,51.5
2018-07-01,x5g,7.75
2018-07-01,cloud_computing,30.5
2018-07-01,speech_recognition,33.5
2018-08-01,bitcoin,13.25
2018-08-01,cryptocurrency,15.75
2018-08-01,x3d_printer,52.5
2018-08-01,x5g,8.25
2018-08-01,cloud_computing,30
2018-08-01,speech_recognition,31.75
2018-09-01,bitcoin,12.5
2018-09-01,cryptocurrency,14.25
2018-09-01,x3d_printer,52.5
2018-09-01,x5g,8.75
2018-09-01,cloud_computing,31.5
2018-09-01,speech_recognition,32.5
2018-10-01,bitcoin,11.75
2018-10-01,cryptocurrency,13.25
2018-10-01,x3d_printer,54.25
2018-10-01,x5g,9.25
2018-10-01,cloud_computing,33.75
2018-10-01,speech_recognition,33.75
2018-11-01,bitcoin,11.75
2018-11-01,cryptocurrency,13
2018-11-01,x3d_printer,56.5
2018-11-01,x5g,10.25
2018-11-01,cloud_computing,35
2018-11-01,speech_recognition,34.25
2018-12-01,bitcoin,11.75
2018-12-01,cryptocurrency,12
2018-12-01,x3d_printer,56.5
2018-12-01,x5g,11.5
2018-12-01,cloud_computing,35.5
2018-12-01,speech_recognition,33.5
2019-01-01,bitcoin,11.5
2019-01-01,cryptocurrency,11
2019-01-01,x3d_printer,56.75
2019-01-01,x5g,12.75
2019-01-01,cloud_computing,34.25
2019-01-01,speech_recognition,32.25
2019-02-01,bitcoin,11.25
2019-02-01,cryptocurrency,10.25
2019-02-01,x3d_printer,55.25
2019-02-01,x5g,15
2019-02-01,cloud_computing,33.75
2019-02-01,speech_recognition,31.5
2019-03-01,bitcoin,10
2019-03-01,cryptocurrency,9
2019-03-01,x3d_printer,52
2019-03-01,x5g,16.5
2019-03-01,cloud_computing,33.5
2019-03-01,speech_recognition,32.75
2019-04-01,bitcoin,9.75
2019-04-01,cryptocurrency,8.75
2019-04-01,x3d_printer,52.75
2019-04-01,x5g,18.75
2019-04-01,cloud_computing,34
2019-04-01,speech_recognition,33.25
2019-05-01,bitcoin,11.5
2019-05-01,cryptocurrency,9.25
2019-05-01,x3d_printer,52.5
2019-05-01,x5g,20.75
2019-05-01,cloud_computing,34.5
2019-05-01,speech_recognition,32.25
2019-06-01,bitcoin,14
2019-06-01,cryptocurrency,10.25
2019-06-01,x3d_printer,53.25
2019-06-01,x5g,22.5
2019-06-01,cloud_computing,33.5
2019-06-01,speech_recognition,30.5
2019-07-01,bitcoin,16.5
2019-07-01,cryptocurrency,11
2019-07-01,x3d_printer,54.5
2019-07-01,x5g,23.5
2019-07-01,cloud_computing,32.75
2019-07-01,speech_recognition,28.75
2019-08-01,bitcoin,17.25
2019-08-01,cryptocurrency,10.75
2019-08-01,x3d_printer,51.5
2019-08-01,x5g,23
2019-08-01,cloud_computing,32.75
2019-08-01,speech_recognition,28.25
2019-09-01,bitcoin,16
2019-09-01,cryptocurrency,10
2019-09-01,x3d_printer,50.5
2019-09-01,x5g,23
2019-09-01,cloud_computing,33.5
2019-09-01,speech_recognition,29.75
2019-10-01,bitcoin,14.25
2019-10-01,cryptocurrency,8.5
2019-10-01,x3d_printer,51.25
2019-10-01,x5g,21.5
2019-10-01,cloud_computing,35
2019-10-01,speech_recognition,30.75
2019-11-01,bitcoin,12.5
2019-11-01,cryptocurrency,7.5
2019-11-01,x3d_printer,53.5
2019-11-01,x5g,21.25
2019-11-01,cloud_computing,37.75
